Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
10.625672,0.107994,-0.005875,3.054330,0.081157,1.039934,9.697363
12.718273,0.108021,-0.005874,3.054274,0.075715,1.026016,9.705822
12.718319,0.108016,-0.005870,3.054275,0.068767,1.035142,9.706883
12.718335,0.108014,-0.005874,3.054306,0.094004,1.010273,9.712660
12.718351,0.107995,-0.005863,3.054295,0.066171,1.044422,9.700589
12.731726,0.107968,-0.005883,3.054278,0.081470,1.030570,9.708129
12.731764,0.107949,-0.005871,3.054272,0.068346,1.031995,9.711495
12.731772,0.107957,-0.005854,3.054228,0.081555,1.025962,9.711384
12.731780,0.107935,-0.005847,3.054239,0.075644,1.050386,9.716037
12.731818,0.107943,-0.005868,3.054215,0.072634,1.042861,9.712413
12.811538,0.107945,-0.005867,3.054230,0.078970,1.040283,9.701933
12.811554,0.107947,-0.005888,3.054237,0.069730,1.037787,9.710014
12.811558,0.107968,-0.005895,3.054209,0.079391,1.040941,9.711213
12.811561,0.107949,-0.005891,3.054188,0.059994,1.054834,9.710197
12.891503,0.107946,-0.005888,3.054168,0.083075,1.042972,9.724860
12.891513,0.107948,-0.005880,3.054095,0.093514,1.033524,9.693171
12.891517,0.107945,-0.005882,3.054105,0.085490,1.041508,9.700734
12.891520,0.107916,-0.005862,3.054051,0.078757,1.038602,9.699782
12.891524,0.107941,-0.005846,3.054046,0.070288,1.036665,9.713980
14.877603,0.107935,-0.005854,3.054078,0.076904,1.036008,9.698088
14.877611,0.107909,-0.005871,3.054126,0.077532,1.029405,9.705596
14.877633,0.107897,-0.005879,3.054156,0.077401,1.038936,9.691213
14.877639,0.107903,-0.005879,3.054175,0.069726,1.038795,9.695163
14.917434,0.107860,-0.005875,3.054182,0.074100,1.045392,9.692997
14.917447,0.107905,-0.005892,3.054180,0.077757,1.034862,9.699762
14.917449,0.107918,-0.005885,3.054220,0.065919,1.046155,9.706963
14.917461,0.107921,-0.005893,3.054228,0.084484,1.036334,9.700140
14.917465,0.107912,-0.005900,3.054180,0.077047,1.040986,9.694570
14.917465,0.107928,-0.005894,3.054132,0.082736,1.028216,9.711376
14.917486,0.107915,-0.005911,3.054081,0.074028,1.038433,9.706524
14.917494,0.107918,-0.005926,3.054133,0.091808,1.032209,9.719944
14.917499,0.107932,-0.005910,3.054076,0.069089,1.038592,9.702523
14.970863,0.107930,-0.005912,3.054073,0.073522,1.040725,9.702167
14.970873,0.107951,-0.005910,3.054099,0.089434,1.021891,9.715505
14.970893,0.107936,-0.005900,3.054045,0.080486,1.033746,9.714519
14.970899,0.107934,-0.005904,3.054065,0.076576,1.027090,9.719228
14.970938,0.107927,-0.005916,3.054041,0.070132,1.032998,9.709670
17.050004,0.107929,-0.005930,3.054007,0.083887,1.039650,9.707616
17.050013,0.107931,-0.005948,3.053975,0.078346,1.039814,9.709411
17.050017,0.107924,-0.005949,3.053938,0.079356,1.041483,9.712308
17.050035,0.107918,-0.005967,3.053925,0.075961,1.033967,9.713049
17.050041,0.107855,-0.005954,3.053917,0.070572,1.040993,9.704724
17.076692,0.107857,-0.005952,3.053921,0.078703,1.038741,9.699640
17.076701,0.107870,-0.005969,3.053908,0.076296,1.037178,9.714370
17.076704,0.107852,-0.005967,3.053929,0.076946,1.040404,9.712794
