Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
101.6097433567,59.6612592462,10.6753072633,6614878.5157598853,594391.7884448223
102.6234860420,59.6612611592,10.6753118850,6614878.7353229392,594392.0434304697
103.5951395035,59.6612628122,10.6753164417,6614878.9258455299,594392.2954850330
104.5945878029,59.6612646037,10.6753210117,6614879.1318075014,594392.5479014511
105.6071708202,59.6612663788,10.6753256150,6614879.3359983629,594392.8022415831
106.5960848331,59.6612681425,10.6753303500,6614879.5390960835,594393.0640314623
107.5922780037,59.6612699637,10.6753349800,6614879.7484464776,594393.3197445234
108.8634419441,59.6612717282,10.6753395933,6614879.9514640011,594393.5746779010
109.6332790852,59.6612734050,10.6753442183,6614880.1447374430,594393.8305148840
110.7069308758,59.6612752093,10.6753488867,6614880.3522682013,594394.0884346830
111.6036176682,59.6612770177,10.6753535300,6614880.5602087844,594394.3449348342
112.6165995598,59.6612786783,10.6753580850,6614880.7515827594,594394.5968737177
112.6165995598,59.6612803492,10.6753627117,6614880.9441906111,594394.8528213486
113.5987694263,59.6612822130,10.6753672467,6614881.1581564788,594395.1030624635
114.5890543461,59.6612839828,10.6753718717,6614881.3617845215,594395.3586379006
115.5885136127,59.6612857352,10.6753766800,6614881.5637248736,594395.6245905906
116.5886061192,59.6612875508,10.6753814383,6614881.7726455880,594395.8875484940
117.6015613079,59.6612894438,10.6753862517,6614881.9902547263,594396.1533874426
118.6011586189,59.6612910620,10.6753908467,6614882.1769538168,594396.4076989908
119.6005289555,59.6612928867,10.6753956283,6614882.3869098173,594396.6719459963
120.6000981331,59.6612947192,10.6754003383,6614882.5976360729,594396.9321336102
121.6144502163,59.6612964998,10.6754050567,6614882.8026031414,594397.1929363385
122.5990681648,59.6612983337,10.6754097167,6614883.0134067787,594397.4503033943
123.8381085396,59.6613001480,10.6754142800,6614883.2219018536,594397.7022795083
124.5985872746,59.6613020545,10.6754189950,6614883.4408743512,594397.9625406920
125.6111967564,59.6613039245,10.6754236683,6614883.6557237497,594398.2205571416
126.5974934101,59.6613058517,10.6754283083,6614883.8768906221,594398.4765350497
127.5972144604,59.6613075540,10.6754328917,6614884.0729442835,594398.7299525456
128.6104729176,59.6613093047,10.6754374250,6614884.2743082223,594398.9804174133
128.6104729176,59.6613110927,10.6754421200,6614884.4800587380,594399.2398848163
129.5316071510,59.6613125543,10.6754455617,6614884.6476933183,594399.4296628623
130.5721139908,59.6613139163,10.6754490350,6614884.8042761926,594399.6215049680
131.5308003426,59.6613154252,10.6754528033,6614884.9776268397,594399.8295531793
132.5306954384,59.6613170273,10.6754565783,6614885.1613785895,594400.0377146032
133.5436444283,59.6613183933,10.6754597850,6614885.3180276016,594400.2145227450
134.5433189869,59.6613200725,10.6754638700,6614885.5107933218,594400.4399315559
135.5435872078,59.6613212330,10.6754669733,6614885.6444153069,594400.6114959884
136.5305972099,59.6613224463,10.6754702833,6614885.7842136081,594400.7945544745
137.5293862820,59.6613238702,10.6754741817,6614885.9482854204,594401.0101650410
138.5426716805,59.6613253038,10.6754779050,6614886.1132031940,594401.2158893246
139.5421128273,59.6613268720,10.6754818900,6614886.2934681652,594401.4359765319
140.5283389091,59.6613284782,10.6754860567,6614886.4782223841,594401.6661910985
141.5549502373,59.6613300502,10.6754898683,6614886.6586676678,594401.8765027564
142.5278415680,59.6613310798,10.6754925750,6614886.7771587744,594402.0260886181
143.5281682014,59.6613312235,10.6754927900,6614886.7934601996,594402.0377968238
143.5281682014,59.6613311843,10.6754927583,6614886.7890543994,594402.0361229717
144.5676186085,59.6613312112,10.6754927733,6614886.7920633191,594402.0368925737
145.5272202492,59.6613311962,10.6754927817,6614886.7904050909,594402.0374041937
146.5290496349,59.6613312025,10.6754927850,6614886.7911149766,594402.0375741753
147.5536439419,59.6613311650,10.6754926817,6614886.7867928166,594402.0318582979
148.5242989063,59.6613317182,10.6754942150,6614886.8505623499,594402.1166837756
149.5252561569,59.6613330565,10.6754974717,6614887.0042022057,594402.2963862641
150.5372576714,59.6613341203,10.6755004967,6614887.1269501373,594402.4638093658
151.5262150764,59.6613355225,10.6755039067,6614887.2879151963,594402.6519704339
152.5276150703,59.6613370150,10.6755074667,6614887.4591511898,594402.8483278221
153.5288128853,59.6613386385,10.6755116417,6614887.6458472218,594403.0789629841
154.5272984505,59.6613402562,10.6755160450,6614887.8322185278,594403.3224776714
155.5279061794,59.6613420447,10.6755205300,6614888.0377263520,594403.5701128391
156.5289525986,59.6613437865,10.6755252583,6614888.2383844601,594403.8315873272
157.5294253826,59.6613455580,10.6755297533,6614888.4420137852,594404.0798335740
158.5270299911,59.6613473487,10.6755343883,6614888.6479762280,594404.3359128132
158.5270299911,59.6613490837,10.6755391617,6614888.8479375821,594404.5999414983
159.5691735744,59.6613508667,10.6755438067,6614889.0530606881,594404.8566055805
160.5384340286,59.6613527205,10.6755484533,6614889.2660726719,594405.1131644221
161.5267999172,59.6613544363,10.6755530567,6614889.4636583067,594405.3676699562
162.5265040398,59.6613560628,10.6755574217,6614889.6509587346,594405.6090000753
163.5382750034,59.6613577148,10.6755621183,6614889.8415700365,594405.8689429144
164.5305411816,59.6613595042,10.6755668517,6614890.0475240070,594406.1305653093
165.5520238876,59.6613612402,10.6755715517,6614890.2474925276,594406.3904597601
166.5381619930,59.6613630347,10.6755762200,6614890.4539293405,594406.6484058041
167.5279660225,59.6613648680,10.6755808917,6614890.6646945598,594406.9064304447
168.5288760662,59.6613666647,10.6755855550,6614890.8713655286,594407.1640886663
169.5283894539,59.6613682743,10.6755899417,6614891.0568226948,594407.4066865123
170.5286436081,59.6613699167,10.6755945433,6614891.2462227279,594407.6613045175
171.5291268826,59.6613716710,10.6755992983,6614891.4483107915,594407.9242456892
171.5291268826,59.6613734102,10.6756041683,6614891.6488738023,594408.1937079807
172.5296711922,59.6613751893,10.6756088450,6614891.8536153985,594408.4521663877
173.5317070484,59.6613769655,10.6756134367,6614892.0579021005,594408.7058447324
174.5319130421,59.6613788457,10.6756179950,6614892.2737206342,594408.9573528748
175.5316298008,59.6613806818,10.6756227133,6614892.4848678494,594409.2179982569
176.5308494568,59.6613825373,10.6756272333,6614892.6978855422,594409.4674161749
177.5469672680,59.6613840378,10.6756317350,6614892.8713519564,594409.7167991713
178.5304322243,59.6613858150,10.6756362100,6614893.0755841481,594409.9639021623
179.5363864899,59.6613875707,10.6756408667,6614893.2776809651,594410.2212997352
180.5310513973,59.6613893107,10.6756455083,6614893.4780121613,594410.4778962968
181.8395853043,59.6613910702,10.6756501333,6614893.6804907741,594410.7334991004
182.6596133709,59.6613929832,10.6756548550,6614893.9001973756,594410.9941160836
183.6471996307,59.6613947845,10.6756593717,6614894.1071796007,594411.2434982890
184.5692467690,59.6613965390,10.6756639183,6614894.3089901553,594411.4947021650
185.5329358578,59.6613982768,10.6756682400,6614894.5086250538,594411.7332775190
186.5328102112,59.6614001220,10.6756728367,6614894.7206014656,594411.9870432126
186.5328102112,59.6614018703,10.6756773917,6614894.9217373347,594412.2387337994
187.5341486931,59.6614035785,10.6756822367,6614895.1188136032,594412.5068743823
188.5334498882,59.6614055045,10.6756866917,6614895.3395884363,594412.7524319866
189.5336759090,59.6614072925,10.6756912817,6614895.5451905746,594413.0059827027
190.5355381966,59.6614090713,10.6756957667,6614895.7496227762,594413.2536439998
191.5352520943,59.6614108932,10.6757004517,6614895.9591270303,594413.5124513608
192.5348982811,59.6614127368,10.6757048267,6614896.1706212619,594413.7537335135
193.5352256298,59.6614143123,10.6757092117,6614896.3522724202,594413.9963328450
194.5359194279,59.6614161468,10.6757136900,6614896.5628930544,594414.2434619807
195.5354754925,59.6614179338,10.6757183683,6614896.7685096022,594414.5019915868
196.5355479717,59.6614196850,10.6757229717,6614896.9700298514,594414.7563967855
197.5358254910,59.6614212407,10.6757272367,6614897.1493021725,594414.9922915917
198.5364906788,59.6614231823,10.6757318900,6614897.3721035877,594415.2489779473
199.5363202095,59.6614249015,10.6757365000,6614897.5700705368,594415.5038485884
200.5366585255,59.6614267452,10.6757410850,6614897.7818636019,594415.7569608367
201.5366683006,59.6614286478,10.6757456167,6614898.0001498042,594416.0069026707
202.5368714333,59.6614303230,10.6757501067,6614898.1930472134,594416.2551367448
202.5368714333,59.6614319723,10.6757546017,6614898.3830755064,594416.5037250905
203.5362689495,59.6614337715,10.6757590733,6614898.5897528632,594416.7505777150
204.5374634266,59.6614355462,10.6757637100,6614898.7939371429,594417.0067944310
205.5376176834,59.6614373632,10.6757681567,6614899.0025645131,594417.2521884963
206.5371656418,59.6614391895,10.6757727100,6614899.2123827841,594417.5035653411
207.5368645191,59.6614410797,10.6757773933,6614899.4294931097,594417.7620862289
208.5367219448,59.6614424707,10.6757814333,6614899.5901118089,594417.9857683301
209.5373349190,59.6614442287,10.6757861233,6614899.7925163927,594418.2450362870
210.5369791985,59.6614460520,10.6757906717,6614900.0019936068,594418.4961397827
211.5362365246,59.6614477852,10.6757952933,6614900.2015361162,594418.7516279536
212.5356514454,59.6614496297,10.6757997300,6614900.4132111892,594418.9963811698
213.5339450836,59.6614515297,10.6758042650,6614900.6312054489,594419.2465179170
214.5354080200,59.6614533420,10.6758089717,6614900.8396832291,594419.5065718978
215.5351421833,59.6614551557,10.6758133617,6614901.0478590308,594419.7487827556
216.5347805023,59.6614566895,10.6758176733,6614901.2247671597,594419.9873674019
217.5351192951,59.6614585352,10.6758222333,6614901.4367476488,594420.2390651557
217.5351192951,59.6614603408,10.6758269117,6614901.6444429383,594420.4975416155
218.5366477966,59.6614621388,10.6758314400,6614901.8510712758,594420.7475893860
219.5393803120,59.6614639173,10.6758359117,6614902.0554479221,594420.9944996473
220.5375766754,59.6614657557,10.6758403933,6614902.2665005680,594421.2418050151
221.5358581543,59.6614675442,10.6758449000,6614902.4720404195,594421.4906588244
222.5385489464,59.6614694027,10.6758493317,6614902.6852673041,594421.7350907028
223.5411684513,59.6614712680,10.6758540617,6614902.8996794000,594421.9963098746
224.5343880653,59.6614731760,10.6758584417,6614903.1183440844,594422.2376919028
225.5354361534,59.6614746447,10.6758627333,6614903.2879683571,594422.4753328149
226.5351893902,59.6614765850,10.6758673783,6614903.5106099872,594422.7315525925
