Img_Time(Sec),IMU_Time(Sec),Roll(rad),Pitch(rad),Yaw(rad)
68.28128,68.29179,-0.03147,-0.11497,0.17719
68.40970,68.41193,-0.03063,-0.11262,0.17924
68.57583,68.57205,-0.02939,-0.11136,0.18061
68.76676,68.75878,-0.03074,-0.11167,0.18135
68.90627,68.90539,-0.03045,-0.11170,0.18258
69.08300,69.09224,-0.02996,-0.11123,0.18407
69.24330,69.25227,-0.03044,-0.11270,0.18467
69.40434,69.39900,-0.03151,-0.11327,0.18446
69.57088,69.58623,-0.03148,-0.11397,0.18522
69.73723,69.75973,-0.02987,-0.11339,0.18676
69.90033,69.96612,-0.02899,-0.11407,0.18746
70.09903,70.09267,-0.02682,-0.11405,0.18811
70.23565,70.23938,-0.02618,-0.11424,0.18877
70.39870,70.35960,-0.02562,-0.11466,0.19000
70.56592,70.58703,-0.02644,-0.11427,0.19117
70.73516,70.73402,-0.02695,-0.11438,0.19298
70.93430,70.93325,-0.02718,-0.11368,0.19458
71.06173,71.05323,-0.02579,-0.11316,0.19667
71.22818,71.22731,-0.02395,-0.11447,0.19871
71.22818,71.88042,-0.02510,-0.11832,0.20440
71.39958,71.88042,-0.02510,-0.11832,0.20440
71.59260,71.88042,-0.02510,-0.11832,0.20440
71.77129,71.88042,-0.02510,-0.11832,0.20440
71.92396,71.91962,-0.02547,-0.11850,0.20461
72.05121,72.05362,-0.02560,-0.11974,0.20606
72.22205,72.22720,-0.02446,-0.11931,0.20781
72.43313,72.42748,-0.02260,-0.11809,0.20618
72.54946,72.61396,-0.02220,-0.11923,0.20158
72.75771,72.76018,-0.02439,-0.11991,0.18653
72.88293,72.89367,-0.02414,-0.11943,0.18491
73.04573,73.04132,-0.02335,-0.11901,0.18521
73.21542,73.09825,-0.02259,-0.11933,0.18560
73.38024,73.39775,-0.02266,-0.11945,0.18571
73.56847,73.60186,-0.02214,-0.12029,0.18627
73.75606,73.66786,-0.02403,-0.11929,0.18871
73.90904,74.01185,-0.02400,-0.11916,0.18884
74.04105,74.01262,-0.02381,-0.11724,0.19124
74.20992,74.10941,-0.02453,-0.11610,0.18052
74.38120,74.31960,-0.02215,-0.11678,0.15094
74.54339,74.31960,-0.02215,-0.11678,0.15094
74.73722,74.31960,-0.02215,-0.11678,0.15094
74.91005,75.24138,-0.02229,-0.11693,0.14967
75.07601,75.24138,-0.02229,-0.11693,0.14967
75.20212,75.24138,-0.02229,-0.11693,0.14967
75.37679,75.44646,-0.02985,-0.11967,0.14107
75.53726,75.53584,-0.02573,-0.12091,0.14840
75.75202,75.85604,-0.02577,-0.12089,0.14844
75.88324,75.85715,-0.02700,-0.11859,0.15029
76.06161,76.06096,-0.02739,-0.11756,0.15131
