Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
285.38593,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
285.55337,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
285.68452,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
285.85176,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
286.01648,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
286.18319,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
286.39028,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
286.51329,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
286.68505,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
286.84582,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
287.01100,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
287.17934,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
287.34176,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
287.53824,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
287.67428,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
287.84651,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
288.00396,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
288.17227,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
288.33439,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
288.54321,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
288.66908,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
288.83161,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
289.00265,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
289.16375,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
289.37196,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
289.49541,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
289.66292,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
289.82621,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
290.00387,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
290.16078,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
290.32145,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
290.50842,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
290.65546,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
290.81859,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
290.98597,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
291.15014,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
291.15014,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
291.31564,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
291.51292,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
291.64585,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
291.81550,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
291.97850,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
292.14741,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
292.35235,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
292.49521,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
292.64050,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
292.84901,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
293.00741,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
293.13699,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
293.31104,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
293.47149,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
293.63449,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
293.84424,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
293.96510,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
294.13032,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
294.29574,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
294.48745,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
