Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
113.6185750961,59.6615019463,10.6758946000,6614906.3730297210,594424.1937754747
114.6180970669,59.6614999250,10.6758897683,6614906.1411040165,594423.9272679043
115.6181018353,59.6614981837,10.6758849117,6614905.9403175851,594423.6585647268
116.6131682396,59.6614963367,10.6758798600,6614905.7274890011,594423.3791733288
117.6176657677,59.6614944037,10.6758749833,6614905.5053342562,594423.1098822564
118.7016272545,59.6614923867,10.6758701700,6614905.2739171777,594422.8443951767
119.6303434372,59.6614904528,10.6758654267,6614905.0518593574,594422.5826176777
120.6141300201,59.6614885893,10.6758605600,6614904.8374569314,594422.3136944631
121.6430997849,59.6614870033,10.6758561233,6614904.6545626726,594422.0682149833
122.6163938046,59.6614850675,10.6758511450,6614904.4319479419,594421.7932043574
123.6159865856,59.6614830940,10.6758463150,6614904.2053504819,594421.5266559122
124.6152665615,59.6614811558,10.6758413183,6614903.9824499236,594421.2506189772
124.6152665615,59.6614791872,10.6758364967,6614903.7564024935,594420.9845263347
125.6553323269,59.6614773215,10.6758316683,6614903.5418134779,594420.7177685247
126.6681344509,59.6614753075,10.6758269300,6614903.3108372744,594420.4564978279
127.6144654751,59.6614736048,10.6758223300,6614903.1147212936,594420.2021448060
128.6543691158,59.6614716907,10.6758174283,6614902.8946280954,594419.9313920403
129.6938378811,59.6614697693,10.6758126350,6614902.6738910927,594419.6667623216
130.6268570423,59.6614678712,10.6758076767,6614902.4554987475,594419.3927722084
131.6396496296,59.6614658903,10.6758029500,6614902.2282319646,594419.1320653504
132.6132063866,59.6614641093,10.6757980800,6614902.0230104858,594418.8627220192
133.6127774715,59.6614622075,10.6757932700,6614901.8044209555,594418.5970984425
134.6122786999,59.6614603487,10.6757882750,6614901.5903558517,594418.3209320175
135.6122007370,59.6614583845,10.6757834150,6614901.3647551350,594418.0526668762
136.6385216713,59.6614564555,10.6757786483,6614901.1432026019,594417.7895607516
137.6112713814,59.6614544765,10.6757737167,6614900.9158484526,594417.5172999210
138.6112546921,59.6614525168,10.6757689617,6614900.6908981698,594417.2549371836
139.6112511158,59.6614508040,10.6757643150,6614900.4935840880,594416.9979834399
139.6112511158,59.6614488677,10.6757596983,6614900.2714285115,594416.7433480248
140.6108076572,59.6614469932,10.6757547500,6614900.0556856226,594416.4698543797
141.6242794991,59.6614451673,10.6757500183,6614899.8456694242,594416.2084297618
142.6110625267,59.6614431585,10.6757451717,6614899.6151146945,594415.9410410654
143.6230125427,59.6614412228,10.6757402733,6614899.3926327722,594415.6705360182
144.6228454113,59.6614393150,10.6757355267,6614899.1734655276,594415.4084968050
145.6215918064,59.6614375947,10.6757307700,6614898.9751600698,594415.1453671147
146.6494846344,59.6614357817,10.6757260317,6614898.7665633289,594414.8835307044
147.6623945236,59.6614340990,10.6757208617,6614898.5718637444,594414.5970100148
148.6350800991,59.6614319982,10.6757162683,6614898.3314263169,594414.3441512414
149.6221699715,59.6614300383,10.6757113500,6614898.1062253816,594414.0725872456
150.6216483116,59.6614280922,10.6757063900,6614897.8824868258,594413.7986375139
151.6216537952,59.6614261883,10.6757016583,6614897.6637864038,594413.5374318626
152.6341707706,59.6614243040,10.6756968717,6614897.4471788732,594413.2730729481
153.6204473972,59.6614223515,10.6756921300,6614897.2230457840,594413.0114406953
154.6200842857,59.6614204552,10.6756871267,6614897.0047940481,594412.7349095715
154.6200842857,59.6614186765,10.6756825650,6614896.8002713881,594412.4829288616
155.6344063282,59.6614167573,10.6756777317,6614896.5797192594,594412.2160387855
156.6205537319,59.6614149343,10.6756728917,6614896.3698647395,594411.9485027785
157.6072411537,59.6614130610,10.6756680050,6614896.1543398118,594411.6784792736
158.6067228317,59.6614110858,10.6756631217,6614895.9274816597,594411.4089297814
159.7131226063,59.6614094033,10.6756584300,6614895.7334812535,594411.1493550639
160.6060078144,59.6614074485,10.6756535000,6614895.5088206520,594410.8771193910
161.6322824955,59.6614055462,10.6756487400,6614895.2902471470,594410.6143130313
162.6044819355,59.6614037330,10.6756438883,6614895.0814709757,594410.3460919601
163.6044106483,59.6614018913,10.6756391600,6614894.8696970902,594410.0848989405
164.6169810295,59.6614000240,10.6756343367,6614894.6549304137,594409.8184262282
165.6029267311,59.6613980542,10.6756294683,6614894.4286875399,594409.5497065458
166.6293578148,59.6613963198,10.6756249033,6614894.2290963717,594409.2974130828
167.6151399612,59.6613944220,10.6756200767,6614894.0109291822,594409.0308382323
168.6147911549,59.6613925205,10.6756152167,6614893.7923063589,594408.7623958283
169.6138646603,59.6613906002,10.6756102517,6614893.5714373374,594408.4880911699
169.6138646603,59.6613886238,10.6756055950,6614893.3447719133,594408.2313138181
170.6332571507,59.6613867197,10.6756009167,6614893.1261106301,594407.9731129872
171.6409184933,59.6613848525,10.6755961250,6614892.9114077007,594407.7084234989
172.6488046646,59.6613831995,10.6755914800,6614892.7207584167,594407.4513944187
173.6252129078,59.6613811768,10.6755866583,6614892.4886996979,594407.1854519271
174.6646676064,59.6613792643,10.6755818383,6614892.2689091777,594406.9192936218
175.7219166756,59.6613773502,10.6755769333,6614892.0488122180,594406.6483515028
176.6366097927,59.6613754180,10.6755721483,6614891.8268818529,594406.3842201381
177.6225531101,59.6613737542,10.6755675417,6614891.6350810146,594406.1293808725
178.6955637932,59.6613720425,10.6755628917,6614891.4378928626,594405.8722348564
179.6352438927,59.6613702163,10.6755578867,6614891.2274515554,594405.5954117641
180.6214289665,59.6613681995,10.6755531000,6614890.9960922282,594405.3314243758
181.6610305309,59.6613663860,10.6755483217,6614890.7873836271,594405.0673348662
182.6199405193,59.6613645855,10.6755434200,6614890.5799470358,594404.7962608109
183.6329255104,59.6613627675,10.6755386367,6614890.3707303358,594404.5319022161
184.6187815666,59.6613608980,10.6755335867,6614890.1554004550,594404.2526657013
184.6187815666,59.6613590320,10.6755287933,6614889.9408253189,594403.9878786176
185.5575432777,59.6613573042,10.6755242650,6614889.7420103792,594403.7376318986
186.5649821758,59.6613554843,10.6755194650,6614889.5325659327,594403.4723394228
187.5635807514,59.6613536958,10.6755145983,6614889.3265153030,594403.2032031813
188.5780816078,59.6613517938,10.6755096400,6614889.1076973854,594402.9292219009
189.5575430393,59.6613499213,10.6755048283,6614888.8923725672,594402.6634201296
190.5827360153,59.6613480720,10.6755000667,6614888.6796982260,594402.4003699586
191.5618829727,59.6613463360,10.6754953917,6614888.4797655409,594402.1418835645
192.5610449314,59.6613444098,10.6754905567,6614888.2584324237,594401.8749180661
193.5607762337,59.6613425883,10.6754857683,6614888.0488191377,594401.6102873065
194.5602290630,59.6613406785,10.6754808950,6614887.8292500712,594401.3411163293
195.5596401691,59.6613386687,10.6754759683,6614887.5984713128,594401.0692218645
196.5871622562,59.6613369975,10.6754714450,6614887.4059728738,594400.8190972321
197.6666510105,59.6613350297,10.6754666017,6614887.1799888909,594400.5517792345
198.5573730469,59.6613331712,10.6754619150,6614886.9664007593,594400.2929797116
199.5575523376,59.6613315690,10.6754571533,6614886.7812457886,594400.0292345514
199.5575523376,59.6613296475,10.6754521933,6614886.5602546344,594399.7552138157
