Time(Sec), LO(m), AO(deg)
570.0000000000,-0.0374117254,-27.6378620643
571.0000000000,-0.0872212735,-30.7920512666
572.0000000000,-0.1228384880,-29.6932788140
573.0000000000,-0.1595409623,-32.4506603342
574.0000000000,-0.1826552764,-24.2792895282
575.0000000000,-0.2123691600,-27.7970913637
576.0000000000,-0.2441089885,-31.2043746445
577.0000000000,-0.2760168587,-32.3401982738
578.0000000000,-0.3057399412,-31.1232505512
579.0000000000,-0.3378313276,-29.4212292142
580.0000000000,-0.3679653380,-33.4543966207
581.0000000000,-0.3741847768,-18.0582998040
582.0000000000,-0.3549305789,-0.8104035256
583.0000000000,-0.2955875289,35.5636609721
584.0000000000,-0.3077250243,-20.6465836012
585.0000000000,-0.2886189123,-0.9900857905
586.0000000000,-0.2636774957,0.6899818239
587.0000000000,-0.2570567444,-8.6477590481
588.0000000000,-0.2568915744,-12.4592131441
589.0000000000,-0.2597851020,175.8343694889
590.0000000000,-0.2642143262,175.4917239538
591.0000000000,-0.2776392749,188.5546175986
592.0000000000,-0.2809351756,-39.3446555033
593.0000000000,-0.2758397461,-10.4762739773
594.0000000000,-0.2791757281,-13.8285424835
595.0000000000,-0.2554567797,-2.8724614460
596.0000000000,-0.2263565771,3.1585144071
597.0000000000,-0.1999891230,-4.4573260483
598.0000000000,-0.1685403944,-2.5342113066
599.0000000000,-0.1599585152,-8.8891377679
600.0000000000,-0.1111647736,-2.6290121681
601.0000000000,-0.0346022664,5.1216134084
602.0000000000,0.0338336469,-0.0005066879
603.0000000000,0.0844051366,-2.2631805945
604.0000000000,0.0962345611,-11.3451123813
